2026/09/12 05:58:12.970, 13132 MiB, 16311 MiB, 0 %, 33, 5.86 W, 180 MHz
2026/09/12 05:58:13.172, 13132 MiB, 16311 MiB, 0 %, 33, 5.86 W, 180 MHz
2026/09/12 05:58:13.373, 13132 MiB, 16311 MiB, 0 %, 33, 5.86 W, 180 MHz
2026/09/12 05:58:13.575, 13132 MiB, 16311 MiB, 0 %, 33, 5.86 W, 180 MHz
2026/09/12 05:58:13.777, 13132 MiB, 16311 MiB, 0 %, 33, 5.88 W, 180 MHz
2026/09/12 05:58:13.978, 13132 MiB, 16311 MiB, 0 %, 33, 5.88 W, 180 MHz
2026/09/12 05:58:14.180, 13132 MiB, 16311 MiB, 0 %, 33, 5.88 W, 180 MHz
2026/09/12 05:58:14.383, 13132 MiB, 16311 MiB, 0 %, 33, 5.88 W, 180 MHz
2026/09/12 05:58:14.584, 13132 MiB, 16311 MiB, 0 %, 33, 5.88 W, 180 MHz
2026/09/12 05:58:14.786, 13132 MiB, 16311 MiB, 0 %, 33, 5.89 W, 180 MHz
2026/09/12 05:58:14.988, 13132 MiB, 16311 MiB, 0 %, 33, 5.89 W, 180 MHz
2026/09/12 05:58:15.189, 13132 MiB, 16311 MiB, 0 %, 33, 5.89 W, 180 MHz
2026/09/12 05:58:15.391, 13132 MiB, 16311 MiB, 0 %, 33, 5.89 W, 180 MHz
2026/09/12 05:58:15.592, 13132 MiB, 16311 MiB, 0 %, 33, 5.91 W, 180 MHz
2026/09/12 05:58:15.794, 13132 MiB, 16311 MiB, 0 %, 33, 5.91 W, 180 MHz
2026/09/12 05:58:15.995, 13132 MiB, 16311 MiB, 0 %, 33, 5.91 W, 180 MHz
2026/09/12 05:58:16.197, 13132 MiB, 16311 MiB, 0 %, 33, 5.91 W, 180 MHz
2026/09/12 05:58:16.399, 13132 MiB, 16311 MiB, 0 %, 33, 5.91 W, 180 MHz
2026/09/12 05:58:16.600, 13132 MiB, 16311 MiB, 0 %, 33, 5.92 W, 180 MHz
2026/09/12 05:58:16.802, 13132 MiB, 16311 MiB, 0 %, 33, 6.28 W, 180 MHz
2026/09/12 05:58:17.003, 13132 MiB, 16311 MiB, 26 %, 33, 9.54 W, 180 MHz
2026/09/12 05:58:17.204, 13132 MiB, 16311 MiB, 87 %, 33, 24.15 W, 2790 MHz
2026/09/12 05:58:17.405, 13132 MiB, 16311 MiB, 84 %, 41, 33.82 W, 2790 MHz
2026/09/12 05:58:17.606, 13132 MiB, 16311 MiB, 91 %, 41, 72.90 W, 2790 MHz
2026/09/12 05:58:17.807, 13132 MiB, 16311 MiB, 83 %, 41, 107.60 W, 2775 MHz
2026/09/12 05:58:18.008, 13132 MiB, 16311 MiB, 94 %, 45, 117.72 W, 2775 MHz
2026/09/12 05:58:18.209, 13132 MiB, 16311 MiB, 78 %, 45, 123.91 W, 2782 MHz
2026/09/12 05:58:18.411, 13132 MiB, 16311 MiB, 96 %, 45, 124.39 W, 2782 MHz
